Price,Close,High,Low,Open,Volume
Ticker,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS
Date,,,,,
2019-08-16,56369.53515625,57834.13597947926,56049.86019365331,56842.1267860062,5761
2019-08-19,57129.609375,57283.56842021655,56554.44169428601,56554.44169428601,4045
2019-08-20,57089.02734375,57394.66687819421,56771.63482723351,57042.503669908976,3228
2019-08-21,57275.6328125,57394.67391157858,56742.923894123356,57041.518650978796,3921
2019-08-22,57112.390625,57238.922154266635,56523.683629600666,57042.5043624721,5127
2019-08-23,57397.15625,57933.33722206379,56069.402312595004,57139.729862857435,5842
2019-08-26,58312.6875,58528.55027952006,56846.15283678917,57982.94514979572,5060
2019-08-27,58401.0703125,59023.55609290468,58181.88665215993,58310.30146962027,4168
2019-08-28,57461.63671875,58726.94444923996,57120.48630599252,58400.5734235001,3434
2019-08-29,57085.81640625,57524.63325460507,56731.076218133705,57486.93690253783,2946
2019-08-30,58121.8671875,58478.94011041897,57199.24829120878,57199.24829120878,4921
2019-09-03,57339.6640625,58181.186152537244,57060.2158755314,58130.04730869859,3399
2019-09-04,57230.19921875,57723.92141252997,57035.618168146306,57339.66898175542,3013
2019-09-05,57261.19921875,57794.454525687885,57123.46106984614,57417.49103925189,2103
2019-09-06,58284.80078125,58508.69645912224,57437.427386786396,57615.88827307256,2892
2019-09-09,58398.6875,58726.94177826998,57866.86984378079,58332.12213590932,2887
2019-09-11,59621.69140625,59798.31943366541,58404.59676991473,58478.94709048733,6205
2019-09-12,60174.1875,60621.63404093783,59520.55416436608,59774.50852880071,7908
2019-09-13,59639.5390625,60509.28307513698,59282.516523380495,60268.52323210363,7070
2019-09-16,58986.35546875,59500.712242638096,58826.1963572688,59321.158576150636,2897
2019-09-17,57390.109375,59514.248996142545,57090.127354000426,59173.34659715248,5455
2019-09-18,57898.171875,58229.948580062344,57536.53414272161,58229.948580062344,4374
2019-09-19,57605.125,57933.332768274246,57428.34974933407,57747.827062321034,2409
2019-09-20,64126.35546875,65323.81142686425,57605.13443052147,57913.50206682361,25477
2019-09-23,65651.421875,66927.88981064026,64381.401999652466,64381.401999652466,16170
2019-09-24,65353.1328125,66690.3615460006,65166.38703424964,66215.63852554295,8452
2019-09-25,63984.1015625,65462.691371396286,63686.99478775029,64998.43103556035,6021
2019-09-26,62357.296875,64897.235428805936,61653.365666467274,63984.09105075311,20476
2019-09-27,62173.73046875,63365.43188590129,61789.028529151554,62357.302544705126,7538
2019-09-30,62785.8046875,62942.887029381585,61970.8187019187,62455.91123185689,4885
